key,region,description,easting,northing,latitude,longitude,url
H429F,Hong Kong Island,Aberdeen Praya Road near Fish Market,833514,812196,22.2485255,114.1501576,http://tdcctv.data.one.gov.hk/H429F.JPG
H210F,Hong Kong Island,Aberdeen Tunnel - Wan Chai Side,836504,815117,22.27490622,114.1791642,http://tdcctv.data.one.gov.hk/H210F.JPG
H421F,Hong Kong Island,Aberdeen Tunnel - Aberdeen Side,836245,812386,22.25024351,114.1766512,http://tdcctv.data.one.gov.hk/H421F.JPG
H422F2,Hong Kong Island,Ap Lei Chau Bridge Road near Aberdeen Police Station,834632,812129,22.24792186,114.1610034,http://tdcctv.data.one.gov.hk/H422F2.JPG
H904F,Hong Kong Island,Canal Road Flyover near Gloucester Road,836731,815614,22.2793944,114.1813669,http://tdcctv.data.one.gov.hk/H904F.JPG
H216F,Hong Kong Island,Canal Road Flyover near Time Square,836735,815604,22.27930409,114.1814057,http://tdcctv.data.one.gov.hk/H216F.JPG
H305F,Hong Kong Island,Causeway Road near Hing Fat Street,837747,815875,22.28175082,114.1912256,http://tdcctv.data.one.gov.hk/H305F.JPG
H106F,Hong Kong Island,Connaught Road Central near Exchange Square,834091,816342,22.2859674,114.1557495,http://tdcctv.data.one.gov.hk/H106F.JPG
H110F,Hong Kong Island,Connaught Road Central near Shun Tak Centre,833910,816444,22.28688829,114.153993,http://tdcctv.data.one.gov.hk/H110F.JPG
H138F,Hong Kong Island,Cotton Tree Drive near Hong Kong Park Sports Centre,834492,815425,22.27768676,114.1596417,http://tdcctv.data.one.gov.hk/H138F.JPG
H207F,Hong Kong Island,Cross Harbour Tunnel Hong Kong Side,836788,815823,22.28128179,114.1819201,http://tdcctv.data.one.gov.hk/H207F.JPG
H204F,Hong Kong Island,Fleming Road near Harbour Road,836018,815741,22.28054134,114.1744485,http://tdcctv.data.one.gov.hk/H204F.JPG
H222F,Hong Kong Island,Gloucester Road near Sun Hung Kai Center,836234,815649,22.27971054,114.1765444,http://tdcctv.data.one.gov.hk/H222F.JPG
H215F,Hong Kong Island,Gloucester Road near Wan Chai Interchange,836496,815859,22.28160696,114.1790867,http://tdcctv.data.one.gov.hk/H215F.JPG
H214F,Hong Kong Island,Harcourt Road near Red Cross Headquarter,835411,815661,22.27981869,114.1685587,http://tdcctv.data.one.gov.hk/H214F.JPG
H201F,Hong Kong Island,Hennessy Road near Arsenal Street,835405,815441,22.27783195,114.1685006,http://tdcctv.data.one.gov.hk/H201F.JPG
H802F,Hong Kong Island,Island Eastern Corridor near Hoi Yu Street,839884,816907,22.29106727,114.2119641,http://tdcctv.data.one.gov.hk/H802F.JPG
H801F,Hong Kong Island,Island Eastern Corridor near Ka Wah Centre,839208,817233,22.29401254,114.2054047,http://tdcctv.data.one.gov.hk/H801F.JPG
H803F,Hong Kong Island,Island Eastern Corridor near Quarry Bay Park,840830,816597,22.28826553,114.2211432,http://tdcctv.data.one.gov.hk/H803F.JPG
H307F,Hong Kong Island,King's Road near Tin Chong Street,838164,816813,22.29022115,114.195273,http://tdcctv.data.one.gov.hk/H307F.JPG
H903F,Hong Kong Island,Morrison Hill Road near Sports Road,836678,815209,22.27573701,114.1808526,http://tdcctv.data.one.gov.hk/H903F.JPG
H107F,Hong Kong Island,Pedder Street,834227,815839,22.28142516,114.1570698,http://tdcctv.data.one.gov.hk/H107F.JPG
H130F,Hong Kong Island,Pok Fu Lam Road near Pokfield Road,831675,815880,22.28179051,114.1323068,http://tdcctv.data.one.gov.hk/H130F.JPG
H132F2,Hong Kong Island,Pok Fu Lam Road near Smithfield Road,831527,815414,22.27758183,114.130872,http://tdcctv.data.one.gov.hk/H132F2.JPG
H109F,Hong Kong Island,Queen's Road Central near Garden Road,834701,815662,22.27982723,114.1616694,http://tdcctv.data.one.gov.hk/H109F.JPG
H108F,Hong Kong Island,Queen's Road Central near Ice House Street,834287,815722,22.28036864,114.1576522,http://tdcctv.data.one.gov.hk/H108F.JPG
H209F,Hong Kong Island,Queen's Road East near Stubbs Road,836422,815132,22.27504169,114.1783686,http://tdcctv.data.one.gov.hk/H209F.JPG
H422F1,Hong Kong Island,Wong Chuk Hang Road near Aberdeen Technical School,834642,812169,22.24828309,114.1611004,http://tdcctv.data.one.gov.hk/H422F1.JPG
H401F,Hong Kong Island,Wong Chuk Hang Road near Aberdeen Tunnel,835631,812421,22.25055947,114.1706947,http://tdcctv.data.one.gov.hk/H401F.JPG
H203F,Hong Kong Island,Yee Wo Street near Hennessy Road,837066,815694,22.28011673,114.1846175,http://tdcctv.data.one.gov.hk/H203F.JPG
K202F,Kowloon,Argyle Street near Yim Po Fong Street,835849,820090,22.31981545,114.1728075,http://tdcctv.data.one.gov.hk/K202F.JPG
K209F,Kowloon,Boundary Street near Tai Hang Tung Road,835772,820842,22.32660644,114.17206,http://tdcctv.data.one.gov.hk/K209F.JPG
K104F,Kowloon,Canton Road near China HK City,835363,818037,22.30127544,114.1680916,http://tdcctv.data.one.gov.hk/K104F.JPG
K106F,Kowloon,Chatham Road near Austin Road,836309,818195,22.30270251,114.1772723,http://tdcctv.data.one.gov.hk/K106F.JPG
K109F,Kowloon,Chatham Road near Princess Margaret Road,836469,818513,22.30557423,114.1788251,http://tdcctv.data.one.gov.hk/K109F.JPG
K221F,Kowloon,Cherry Street near Hoi Wang Road,834894,819923,22.31830685,114.1635385,http://tdcctv.data.one.gov.hk/K221F.JPG
K305F,Kowloon,Cheung Sha Wan Road near Kwong Cheung Street,833695,822178,22.33866944,114.1518975,http://tdcctv.data.one.gov.hk/K305F.JPG
K802F,Kowloon,Ching Cheung Road near Caritas Medical Center,834032,822663,22.34304974,114.1551682,http://tdcctv.data.one.gov.hk/K802F.JPG
TK110F,Kowloon,Chui Ling Road near Po Shun Road,844258,818452,22.30500482,114.2544171,http://tdcctv.data.one.gov.hk/TK110F.JPG
K627F,Kowloon,Clear Water Bay Road near Fei Ngo Shan Road,840913,821603,22.3334725,114.2219631,http://tdcctv.data.one.gov.hk/K627F.JPG
K107F,Kowloon,Cross Harbour Tunnel Kowloon Side,836649,818128,22.30209742,114.1805719,http://tdcctv.data.one.gov.hk/K107F.JPG
K108F,Kowloon,Jordan Road near Ferry Street,835229,818538,22.3057997,114.1667908,http://tdcctv.data.one.gov.hk/K108F.JPG
K613F,Kowloon,Kai Cheung Road near Wang Chiu Road,839556,820704,22.32535714,114.2087889,http://tdcctv.data.one.gov.hk/K613F.JPG
K404F,Kowloon,Kai Tak Tunnel Kowloon City Side,837362,819451,22.3140446,114.1874923,http://tdcctv.data.one.gov.hk/K404F.JPG
K325F,Kowloon,Kwai Chung Road near Mei Fo Sun Chuen,832714,822008,22.3371325,114.142375,http://tdcctv.data.one.gov.hk/K325F.JPG
K814F,Kowloon,Kwun Tong Bypass near Kai Cheung Road,839090,820746,22.32573725,114.2042658,http://tdcctv.data.one.gov.hk/K814F.JPG
K812F,Kowloon,Kwun Tong Bypass near Laguna City,841692,818908,22.30913278,114.2295157,http://tdcctv.data.one.gov.hk/K812F.JPG
K813F,Kowloon,Kwun Tong Bypass near Lai Yip Street,840447,819259,22.31230599,114.2174335,http://tdcctv.data.one.gov.hk/K813F.JPG
K621F,Kowloon,Kwun Tong Road near Kai Yip Estate,839759,821165,22.32951984,114.2107603,http://tdcctv.data.one.gov.hk/K621F.JPG
K809F2,Kowloon,Kwun Tong Road near Kowloon Bay MTR Station,840179,820053,22.31947692,114.2148344,http://tdcctv.data.one.gov.hk/K809F2.JPG
K810F,Kowloon,Kwun Tong Road near Ngua Tau Kok MTR Station,840705,819518,22.31464427,114.2199383,http://tdcctv.data.one.gov.hk/K810F.JPG
